x;y;tempo;invert
1701;1701;0.01200;1
1711;1711;0.01200;1
1721;1721;0.01600;1
1731;1731;0.01200;1
1741;1741;0.01200;1
1751;1751;0.01600;1
1761;1761;0.01200;1
1771;1771;0.01200;1
1781;1781;0.01200;1
1791;1791;0.01200;1
1801;1801;0.01200;1
1811;1811;0.01200;1
1821;1821;0.01200;1
1831;1831;0.02400;1
1841;1841;0.02000;1
1851;1851;0.01600;1
1861;1861;0.01600;1
1871;1871;0.01600;1
1881;1881;0.01600;1
1891;1891;0.02000;1
1901;1901;0.02000;1
1911;1911;0.02000;1
1921;1921;0.01200;1
1931;1931;0.01600;1
1941;1941;0.02400;1
1951;1951;0.01600;1
1961;1961;0.02000;1
1971;1971;0.01600;1
1981;1981;0.01600;1
1991;1991;0.01600;1
2001;2001;0.02000;1
2011;2011;0.01700;1
2021;2021;0.01600;1
2031;2031;0.01200;1
2041;2041;0.01600;1
2051;2051;0.01600;1
2061;2061;0.01600;1
2071;2071;0.01600;1
2081;2081;0.02000;1
2091;2091;0.01600;1
2101;2101;0.01600;1
2111;2111;0.02000;1
2121;2121;0.02000;1
2131;2131;0.02000;1
2141;2141;0.02400;1
2151;2151;0.02000;1
2161;2161;0.02000;1
2171;2171;0.02000;1
2181;2181;0.02000;1
2191;2191;0.02400;1
2201;2201;0.02400;1
2211;2211;0.01600;1
2221;2221;0.01600;1
2231;2231;0.02000;1
2241;2241;0.02000;1
2251;2251;0.02000;1
2261;2261;0.01600;1
2271;2271;0.02000;1
2281;2281;0.02400;1
2291;2291;0.02400;1
2301;2301;0.02800;1
2311;2311;0.02400;1
2321;2321;0.06000;1
2331;2331;0.02800;1
2341;2341;0.03200;1
2351;2351;0.02800;1
2361;2361;0.02400;1
2371;2371;0.02000;1
2381;2381;0.04000;1
2391;2391;0.02000;1
2401;2401;0.07200;1
2411;2411;0.02400;1
2421;2421;0.03200;1
2431;2431;0.02400;1
2441;2441;0.02400;1
2451;2451;0.03200;1
2461;2461;0.02800;1
2471;2471;0.02400;1
2481;2481;0.02400;1
2491;2491;0.03200;1
2501;2501;0.02800;1
2511;2511;0.02800;1
2521;2521;0.03200;1
2531;2531;0.02800;1
2541;2541;0.03600;1
2551;2551;0.02400;1
2561;2561;0.03200;1
2571;2571;0.02800;1
2581;2581;0.02800;1
2591;2591;0.02400;1
2601;2601;0.02400;1
2611;2611;0.02400;1
2621;2621;0.02400;1
2631;2631;0.02800;1
2641;2641;0.03200;1
2651;2651;0.02800;1
2661;2661;0.02700;1
2671;2671;0.02800;1
2681;2681;0.03200;1
2691;2691;0.03200;1
2701;2701;0.04000;1
2711;2711;0.02800;1
2721;2721;0.02800;1
2731;2731;0.03600;1
2741;2741;0.03600;1
2751;2751;0.04400;1
2761;2761;0.03600;1
2771;2771;0.02800;1
2781;2781;0.05200;1
2791;2791;0.03200;1
2801;2801;0.02800;1
2811;2811;0.04800;1
2821;2821;0.03600;1
2831;2831;0.03200;1
2841;2841;0.03600;1
2851;2851;0.04800;1
2861;2861;0.02800;1
2871;2871;0.03200;1
2881;2881;0.03200;1
2891;2891;0.03200;1
2901;2901;0.03200;1
2911;2911;0.03600;1
2921;2921;0.03600;1
2931;2931;0.03200;1
2941;2941;0.03200;1
2951;2951;0.03200;1
2961;2961;0.03200;1
2971;2971;0.03600;1
2981;2981;0.02900;1
2991;2991;0.03600;1
3001;3001;0.03600;1
3011;3011;0.03200;1
3021;3021;0.03200;1
3031;3031;0.03200;1
3041;3041;0.03600;1
3051;3051;0.03600;1
3061;3061;0.03600;1
3071;3071;0.03600;1
3081;3081;0.03200;1
3091;3091;0.04000;1
3101;3101;0.03600;1
3111;3111;0.04000;1
3121;3121;0.03600;1
3131;3131;0.03700;1
3141;3141;0.03600;1
3151;3151;0.04000;1
3161;3161;0.04000;1
3171;3171;0.03600;1
3181;3181;0.03200;1
3191;3191;0.03600;1
3201;3201;0.05200;1
3211;3211;0.04000;1
3221;3221;0.03600;1
3231;3231;0.04000;1
3241;3241;0.04400;1
3251;3251;0.03600;1
3261;3261;0.04100;1
3271;3271;0.03600;1
3281;3281;0.04000;1
3291;3291;0.04000;1
3301;3301;0.04400;1
3311;3311;0.03600;1
3321;3321;0.04400;1
3331;3331;0.04000;1
3341;3341;0.04400;1
3351;3351;0.03600;1
3361;3361;0.04000;1
3371;3371;0.04000;1
3381;3381;0.04000;1
3391;3391;0.04100;1
3401;3401;0.04800;1
3411;3411;0.04500;1
3421;3421;0.04400;1
3431;3431;0.04400;1
3441;3441;0.04800;1
3451;3451;0.04400;1
3461;3461;0.04000;1
3471;3471;0.04300;1
3481;3481;0.04000;1
3491;3491;0.04400;1
3501;3501;0.04000;1
3511;3511;0.04800;1
3521;3521;0.04400;1
3531;3531;0.04400;1
3541;3541;0.04400;1
3551;3551;0.04800;1
3561;3561;0.05200;1
3571;3571;0.04800;1
3581;3581;0.05200;1
3591;3591;0.04400;1
3601;3601;0.04800;1
3611;3611;0.04800;1
3621;3621;0.04400;1
3631;3631;0.04700;1
3641;3641;0.04800;1
3651;3651;0.04300;1
3661;3661;0.04400;1
3671;3671;0.04800;1
3681;3681;0.04800;1
3691;3691;0.05600;1
3701;3701;0.05600;1
3711;3711;0.06400;1
3721;3721;0.04800;1
3731;3731;0.05200;1
3741;3741;0.04800;1
3751;3751;0.05200;1
3761;3761;0.05600;1
3771;3771;0.05200;1
3781;3781;0.05200;1
3791;3791;0.05200;1
3801;3801;0.06000;1
3811;3811;0.05200;1
3821;3821;0.04800;1
3831;3831;0.06000;1
3841;3841;0.05300;1
3851;3851;0.06000;1
3861;3861;0.05600;1
3871;3871;0.06000;1
3881;3881;0.05600;1
3891;3891;0.05200;1
3901;3901;0.05200;1
3911;3911;0.05600;1
3921;3921;0.05600;1
3931;3931;0.05600;1
3941;3941;0.05200;1
3951;3951;0.05600;1
3961;3961;0.05200;1
3971;3971;0.06100;1
3981;3981;0.07200;1
3991;3991;0.05600;1
4001;4001;0.05600;1
4011;4011;0.05600;1
4021;4021;0.06100;1
4031;4031;0.05600;1
4041;4041;0.05600;1
4051;4051;0.05600;1
4061;4061;0.05600;1
4071;4071;0.06000;1
4081;4081;0.05600;1
4091;4091;0.05900;1
4101;4101;0.06000;1
4111;4111;0.06000;1
4121;4121;0.06400;1
4131;4131;0.06000;1
4141;4141;0.06000;1
4151;4151;0.06000;1
4161;4161;0.06000;1
4171;4171;0.06500;1
4181;4181;0.07600;1
4191;4191;0.08400;1
4201;4201;0.09600;1
4211;4211;0.06000;1
4221;4221;0.08400;1
4231;4231;0.06800;1
4241;4241;0.06400;1
4251;4251;0.06400;1
4261;4261;0.06000;1
4271;4271;0.06400;1
4281;4281;0.06400;1
4291;4291;0.06400;1
4301;4301;0.06400;1
4311;4311;0.06400;1
4321;4321;0.06800;1
4331;4331;0.06400;1
4341;4341;0.06500;1
4351;4351;0.06800;1
4361;4361;0.06400;1
4371;4371;0.06800;1
4381;4381;0.06800;1
4391;4391;0.06800;1
4401;4401;0.06800;1
4411;4411;0.06400;1
4421;4421;0.06800;1
4431;4431;0.06800;1
4441;4441;0.07200;1
4451;4451;0.06800;1
4461;4461;0.07200;1
4471;4471;0.06800;1
4481;4481;0.07200;1
4491;4491;0.06800;1
4501;4501;0.07200;1
4511;4511;0.07200;1
4521;4521;0.07600;1
4531;4531;0.07200;1
4541;4541;0.06800;1
4551;4551;0.06800;1
4561;4561;0.07600;1
4571;4571;0.07200;1
4581;4581;0.07600;1
4591;4591;0.07600;1
4601;4601;0.07200;1
4611;4611;0.07600;1
4621;4621;0.07300;1
4631;4631;0.07300;1
4641;4641;0.08800;1
4651;4651;0.07600;1
4661;4661;0.07600;1
4671;4671;0.07600;1
4681;4681;0.07600;1
4691;4691;0.07600;1
4701;4701;0.07600;1
4711;4711;0.08000;1
4721;4721;0.07600;1
4731;4731;0.08000;1
4741;4741;0.07600;1
4751;4751;0.08400;1
4761;4761;0.07600;1
4771;4771;0.08400;1
4781;4781;0.08000;1
4791;4791;0.07600;1
4801;4801;0.08000;1
4811;4811;0.08400;1
4821;4821;0.08000;1
4831;4831;0.08000;1
4841;4841;0.08400;1
4851;4851;0.08400;1
4861;4861;0.08400;1
4871;4871;0.08400;1
4881;4881;0.08000;1
4891;4891;0.08400;1
4901;4901;0.08000;1
4911;4911;0.08800;1
4921;4921;0.08100;1
4931;4931;0.08400;1
4941;4941;0.08800;1
4951;4951;0.08800;1
4961;4961;0.08000;1
4971;4971;0.08300;1
4981;4981;0.08800;1
4991;4991;0.08400;1
5001;5001;0.08800;1
5011;5011;0.08800;1
