x;y;tempo;inverso
100;100;0.00000;0
1000;1000;0.00800;0
10000;10000;0.42400;0
22000;22000;1.85800;0
22900;22900;2.01400;0
22970;22970;2.76200;0
11000;11000;0.45200;0
12000;12000;0.49700;0
15000;15000;0.78900;0
16000;16000;0.93300;0
17000;17000;0.99700;0
18000;18000;1.23700;0
19000;19000;1.24900;0
20000;20000;1.50900;0
21000;21000;1.53300;0
9000;9000;0.25300;0
8000;8000;0.20100;0
7000;7000;0.15500;0
156;156;0.00000;0
625;625;0.00100;0
1625;1625;0.00900;0
2625;2625;0.02200;0
5000;5000;0.07900;0
